dt,dttm,user_id,order_id,card_id,amount
2022-09-07,2022-09-07 03:08:15,288981,c8b783b9d0a80c01,nan,349.69
2022-09-05,2022-09-05 21:50:53,73078,1a04f965818a8533,nan,348.61
2022-09-07,2022-09-07 21:07:51,840231,d58cc99982459ca8,card_27253445de7e4ce1,338.2
2022-09-26,2022-09-26 13:22:26,941870,d28a3097fa7cf63a,card_e1c1c18c55ad8fad,350.84
2022-09-12,2022-09-12 02:08:12,78581,99ba5c4097c6b8fe,card_e74c628e8a944744,349.94
2022-09-20,2022-09-20 11:41:50,624306,8844c5f00372df2c,card_39b32dfc9ed18533,341.94
2022-09-12,2022-09-12 12:01:27,546767,a012869311d64a44,nan,348.54
2022-09-05,2022-09-05 12:11:31,176933,c0d8ec4888d56b0f,card_2e8ce85304964f73,352.08
2022-09-30,2022-09-30 10:00:38,90075,8487e01fbaf43e75,card_b2fb19fe374529d3,333.87
2022-09-20,2022-09-20 09:00:01,800943,05ae14d7ae387b93,card_a4cc3a85c7cda24d,343.0
2022-09-13,2022-09-13 20:48:18,939506,c2ba1bc54b239208,card_f0b57183da91a797,378.83
2022-09-25,2022-09-25 21:29:04,417288,03bfc1d4783966c6,card_4e4f8804bf781c81,363.18
2022-09-27,2022-09-27 18:35:12,996572,5d55e7c13b0f4d7c,card_5ebe5626b9f1cd89,361.39
2022-09-13,2022-09-13 10:00:37,83513,87ae6fb631f7c8a6,card_f6b223030ef23989,330.16
2022-09-27,2022-09-27 02:20:41,179992,439fca360bc99c31,card_9dd39546e7795147,344.13
2022-09-28,2022-09-28 13:05:58,468589,abdeb6f575ac5c66,card_c99e757a469e0631,337.74
2022-09-16,2022-09-16 12:12:09,252406,f84d465177e84bb4,card_d6128a5c44f82653,352.63
2022-09-17,2022-09-17 04:10:25,408022,5f6ecc9686eb1bff,card_8d0edb3d066ad248,332.81
2022-09-08,2022-09-08 19:30:37,155109,4bd6a600d4cb755c,card_db0d4963149c89b0,343.58
2022-09-12,2022-09-12 17:57:31,964553,5401acfe633e6817,card_c77409b2f7dabc44,339.56
2022-09-26,2022-09-26 16:08:34,549364,1943102704f8f8f3,nan,327.32
2022-09-07,2022-09-07 23:48:33,355349,357a6fdf7642bf81,nan,337.58
2022-09-05,2022-09-05 05:18:26,299991,70222949cc0db89a,card_6193850a93987319,353.13
2022-09-04,2022-09-04 05:00:49,288847,a1cb608a30fc2883,card_a1bdeb626662373c,359.05
2022-09-21,2022-09-21 02:03:51,417232,217eedd1ba8c592d,nan,351.87
2022-09-07,2022-09-07 08:07:35,422121,3bff829dde358355,card_163fd77a3b90502e,340.89
2022-09-06,2022-09-06 21:14:27,725134,a2790947391a51d1,card_19c81ddc9575bacf,347.95
2022-09-14,2022-09-14 23:33:39,343839,f14bc21be7eaeed0,card_28e920c376a9df80,348.94
2022-09-12,2022-09-12 12:41:46,169449,e833e042f509c996,card_52c64c7229440766,332.23
